#rule646(verb + н1 -> adj)
действовать,действенный
прочувствовать,прочувственный
почитать,почтенный
согнуть,согбенный
проникнуть,проникновенный
дерзнуть,дерзновенный
сокрыть,сокровенный
открыть,откровенный
прикрыть,прикровенный
сбыться,сбыточный
раздать,раздаточный
передать,передаточный
сдать,сдаточный
стать,статочный
достать,достаточный
распивать,распивочный
лечить,лечебный
хвалить,хвалебный
целить,целебный
съесть,съедобный
мешкать,мешкотный
шить,швейный
плести,плетейный
ответить,ответственный
благодарить,благодарственный

#rule657(verb + ом/им -> adj)
весить,весомый
знать,знакомый
принимать,приемлемый

#rule661(verb + лив/чив/ив -> adj)
играть,игривый
ревновать,ревнивый
служить,служивый
бурлить,бурливый
лгать,лживый
бранить,бранчливый
шалить,шаловливый

#rule662(verb + л -> adj)
таять,талый
бежать,беглый
осесть,осёдлый

#rule663(verb + ен/н2/т -> adj)
клеймить,клеймёный
студить,студёный

